,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4838,7wjiMdiSgsL9Vkrwb10Num,"On My Way - From ""Brother Bear""/Soundtrack Version",Phil Collins,https://open.spotify.com/track/7wjiMdiSgsL9Vkrwb10Num,0.61,0.698,7,-8.616,0.028,0.284,3.63e-05,0.34,0.467,102.004
4839,7GmiJVBAzWNikX5VkNQg85,Hawaiian Roller Coaster Ride,Mark Keali'i Ho'omalu,https://open.spotify.com/track/7GmiJVBAzWNikX5VkNQg85,0.702,0.624,5,-9.927,0.0285,0.314,0.0152,0.0669,0.947,114.542
4840,4YwbSZaYeYja8Umyt222Qf,You Can't Hurry Love - 2016 Remaster,Phil Collins,https://open.spotify.com/track/4YwbSZaYeYja8Umyt222Qf,0.62,0.936,7,-4.593,0.0308,0.0261,0.0,0.0679,0.763,97.527
4841,7fjmYUeonVOEyr0lYOKvMy,I've Got No Strings,Dickie Jones,https://open.spotify.com/track/7fjmYUeonVOEyr0lYOKvMy,0.513,0.288,3,-16.054,0.0686,0.675,0.0226,0.0602,0.838,92.228
4842,2EeVPGHq2I7fjeDfT6LEYX,I Wan'na Be Like You (The Monkey Song),Louis Prima,https://open.spotify.com/track/2EeVPGHq2I7fjeDfT6LEYX,0.746,0.404,7,-15.09,0.0995,0.662,0.000238,0.281,0.795,96.317
4843,72ahyckBJfTigJCFCviVN7,Don't Bring Me Down,Electric Light Orchestra,https://open.spotify.com/track/72ahyckBJfTigJCFCviVN7,0.638,0.867,2,-6.469,0.0331,0.144,0.000733,0.0846,0.805,115.692
4844,5OFXqc0YydDLSJTxEp0AjS,The Mummers' Dance,Loreena McKennitt,https://open.spotify.com/track/5OFXqc0YydDLSJTxEp0AjS,0.548,0.456,0,-11.53,0.0289,0.425,0.116,0.0892,0.294,120.274
4845,5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu,0.578,0.817,0,-6.542,0.0363,0.183,3.06e-06,0.285,0.726,141.621
4846,5jkFvD4UJrmdoezzT1FRoP,Rasputin,Boney M.,https://open.spotify.com/track/5jkFvD4UJrmdoezzT1FRoP,0.639,0.893,9,-6.509,0.036,0.289,0.00816,0.222,0.966,126.143
4847,4EaO2XR7gWaHq8DW7nu1iY,Paris,Magic Man,https://open.spotify.com/track/4EaO2XR7gWaHq8DW7nu1iY,0.472,0.881,2,-5.252,0.0524,0.0876,0.0,0.0698,0.502,178.858
